Hypothesis,Variables,Chi-square,Degrees of Freedom,P-value,Cramer's V,Alpha,Decision
H1,Type of Travel vs Satisfaction,20882.22,1,0.0,0.449,0.05,Reject H0
H2,Travel Class vs Satisfaction,26402.22,2,0.0,0.505,0.05,Reject H0
